This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 1, Id: 168, Teachers: DUMMY, Subject: H17834TeamWorkinginComputing, Activity tags: STB, A, Students: TAPSS_BF117A
No: 2, Id: 175, Teachers: Cruyff8, Subject: H1EM34ClientOperatingSystems, Activity tags: STB, V, Students: TAPSS_BF117A
No: 3, Id: 296, Teachers: PSG1, Subject: H22375SoftwareDesignandDevelopmen, Activity tags: EASTERN, A3.12, Students: TAPSM5_SF117A
No: 4, Id: 318, Teachers: Becks, Subject: SAPPFGAppsforGood, Activity tags: STB, A, Students: TAPSM6_BF117A
No: 5, Id: 341, Teachers: Kaka7, Subject: SAPPFGAppsforGood, Activity tags: STB, A, Students: TAPSM6_BF117B
No: 6, Id: 391, Teachers: Gullit, Subject: NPPSD(Tues)FoundationApprenticeship, Activity tags: STB, XY50, Students: TAPSD_BF117A
No: 7, Id: 392, Teachers: Maradona, Subject: NPPSD(Tues)FoundationApprenticeship, Activity tags: STB, XY50, Students: TAPSD_BF117A
No: 8, Id: 395, Teachers: Cruyff8, Subject: NPPSD(Thurs)FoundationApprenticeship, Activity tags: STB, XY50, Students: TAPSD_BF117A
No: 9, Id: 10, Teachers: , Subject: CSNUMCoreSkillsNumeracy, Activity tags: STB, A, Students: TAPSM5_BF117A
No: 10, Id: 12, Teachers: , Subject: CSNUMCoreSkillsNumeracy, Activity tags: WESTWING, A, Students: TAPSM5_HF117A
No: 11, Id: 13, Teachers: , Subject: CSNUMCoreSkillsNumeracy, Activity tags: WESTWING, A, Students: NCCDM5_HF117B
No: 12, Id: 14, Teachers: , Subject: CSNUMCoreSkillsNumeracy, Activity tags: EASTERN, A, Students: TAPSM5_SF117A
No: 13, Id: 15, Teachers: , Subject: CSNUMCoreSkillsNumeracy, Activity tags: STB, A, Students: TAPSM6_BF117A
No: 14, Id: 16, Teachers: , Subject: CSNUMCoreSkillsNumeracy, Activity tags: STB, A, Students: TAPSM6_BF117B
No: 15, Id: 17, Teachers: , Subject: CSNUMCoreSkillsNumeracy, Activity tags: WESTWING, A, Students: TAPSM6_HF117A
No: 16, Id: 18, Teachers: , Subject: CSNUMCoreSkillsNumeracy, Activity tags: WESTWING, A, Students: TAPSM6_HF117B
No: 17, Id: 186, Teachers: , Subject: H1EM35ClientOperatingSystems, Activity tags: STB, V, Students: TAPSS_BF117A
No: 18, Id: 394, Teachers: , Subject: NPPSD(Thurs)FoundationApprenticeship, Activity tags: STB, XY50, Students: TAPSD_BF117A
No: 19, Id: 194, Teachers: Pele10, Subject: H48X35Computing:TechnicalSupport:, Activity tags: STB, CISCO, Students: TAPSS_BF217A
No: 20, Id: 52, Teachers: John, Subject: H17S34NetworkConcepts, Activity tags: STB, CISCO, Students: TAPSN_BF117A
No: 21, Id: 68, Teachers: Pele10, Subject: H17S34NetworkConcepts, Activity tags: STB, CISCO, Students: TAPSN_BF117B
No: 22, Id: 84, Teachers: Zidane, Subject: H17V34+H16X35SecurityConcepts+ServerAdm, Activity tags: STB, V, Students: TAPSN_BF217A
No: 23, Id: 406, Teachers: Cruyff8, Subject: H7E944/H7EB44/H22674InformationLiteracy/SocialMe, Activity tags: STB, A, Students: NCCDM4_BF117A
No: 24, Id: 142, Teachers: Ronal, Subject: H16Y35SoftwareDevelopment:DataStr, Activity tags: STB, V, Students: TAPSD_BF217A
No: 25, Id: 155, Teachers: Ronal, Subject: H16Y35SoftwareDevelopment:DataStr, Activity tags: STB, V, Students: HDCSD_BF217B
No: 26, Id: 158, Teachers: VPG, Subject: H48W35Computing:SoftwareDevelopmen, Activity tags: STB, XY47, Students: HDCSD_BF217B
