+-----+---------------+------------------------------------------------------+----------+---------+-------------------------------------+-------+----------+--------+----------+-----------+-----------+-----------+
| id  | course        | course_desc                                          | campus   | unit    | unit_desc                           | hours | semester | room   | lecturer | room_lock | day_lock  | time_lock |
+-----+---------------+------------------------------------------------------+----------+---------+-------------------------------------+-------+----------+--------+----------+-----------+-----------+-----------+
|   1 | 0             | 0                                                    | 0        | 0       | 0                                   |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 226 | NQBES6-HF118A | Advanced Certificate Enterprise and Business Level 6 | HALBEATH | FJ3F 12 | Business Formation: An Introduction |     2 | 1        | 0      | EBROA    | 0         | 0         | 0         |
| 242 | 0             | 0                                                    | 0        | 0       | 0                                   |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 243 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | BCOMP  | 0        |           | Wednesday | 09:00     |
| 244 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | BCOMP  | 0        |           | Thursday  | 09:00     |
| 245 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | BCOMP  | 0        |           | Friday    | 09:00     |
| 246 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | H4.19  | 0        |           | Monday    | 09:00     |
| 247 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | H4.19  | 0        |           | Friday    | 09:00     |
| 248 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | H4.13  | 0        |           | Tuesday   | 09:00     |
| 249 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | H4.13  | 0        |           | Wednesday | 09:00     |
| 250 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | H4.13  | 0        |           | Thursday  | 09:00     |
| 251 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | HDUMMY | 0        |           | Wednesday | 09:00     |
| 252 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | HDUMMY | 0        |           | Thursday  | 09:00     |
| 253 | ROOMLOCK      | 0                                                    | 0        | 0       | 0                                   |     8 | LOCKALL  | HDUMMY | 0        |           | Friday    | 09:00     |
| 254 | 0             | 0                                                    | 0        | 0       | 0                                   |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 255 | LECTURERLOCK  | 0                                                    | 0        | 0       | 0                                   |     1 | LOCKALL  | 0      | APREC    |           | Monday    | 12:00     |
| 256 | LECTURERLOCK  | 0                                                    | 0        | 0       | 0                                   |     1 | LOCKALL  | 0      | APREC    |           | Tuesday   | 12:00     |
| 257 | LECTURERLOCK  | 0                                                    | 0        | 0       | 0                                   |     1 | LOCKALL  | 0      | APREC    |           | Wednesday | 12:00     |
| 258 | LECTURERLOCK  | 0                                                    | 0        | 0       | 0                                   |     1 | LOCKALL  | 0      | APREC    |           | Thursday  | 12:00     |
| 259 | LECTURERLOCK  | 0                                                    | 0        | 0       | 0                                   |     1 | LOCKALL  | 0      | APREC    |           | Friday    | 12:00     |
| 260 | LECTURERLOCK  | 0                                                    | 0        | 0       | 0                                   |     1 | LOCKALL  | 0      | BMCAR    |           | Monday    | 13:00     |
| 261 | LECTURERLOCK  | 0                                                    | 0        | 0       | 0                                   |     1 | LOCKALL  | 0      | BMCAR    |           | Tuesday   | 12:00     |
